MVP_RANK,WAR,YEAR,WAR_RANK
1,9.9,2023,1
3,7.4,2023,2
11,7.4,2023,3
2,6.9,2023,4
8,6.2,2023,5
5,5.4,2023,6
4,5.3,2023,7
6,5.2,2023,8
10,5.1,2023,9
12,5,2023,10
13,4.6,2023,11
15,4.5,2023,12
7,4.4,2023,13
9,4.3,2023,14
14,4.2,2023,15
2,8.3,2023,1
1,8.2,2023,2
4,7.4,2023,3
3,6.5,2023,4
13,6.2,2023,5
9,6,2023,6
7,5.9,2023,7
14,5.8,2023,8
6,5.5,2023,9
15,5.5,2023,10
5,5.4,2023,11
8,4.9,2023,12
10,4.4,2023,13
11,3.8,2023,14
12,3.7,2023,15
1,10.5,2022,1
2,9.6,2022,2
6,7.4,2022,3
3,6.8,2022,4
7,6.2,2022,5
8,6.2,2022,6
4,6,2022,7
9,5.9,2022,8
10,5.6,2022,9
12,5.4,2022,10
15,5.4,2022,11
5,5.2,2022,12
14,4.5,2022,13
13,4.2,2022,14
11,3.7,2022,15
10,8,2022,1
1,7.7,2022,2
3,7.7,2022,3
2,6.7,2022,4
5,6.7,2022,5
7,6.6,2022,6
6,6.3,2022,7
4,6.2,2022,8
15,5.7,2022,9
9,5.6,2022,10
12,5.5,2022,11
11,5.2,2022,12
13,5.2,2022,13
14,4.6,2022,14
8,4.4,2022,15
1,8.9,2021,1
5,7.2,2021,2
3,7.1,2021,3
6,6.8,2021,4
2,6.7,2021,5
4,6.1,2021,6
9,5.9,2021,7
8,5.8,2021,8
12,5.8,2021,9
15,5.7,2021,10
7,5.5,2021,11
13,5,2021,12
10,4.5,2021,13
11,3.7,2021,14
14,2.9,2021,15
2,7.1,2021,1
3,6.6,2021,2
5,6.4,2021,3
7,6.3,2021,4
4,6.1,2021,5
8,6.1,2021,6
6,6,2021,7
1,5.9,2021,8
11,5.9,2021,9
14,5.3,2021,10
15,5.3,2021,11
9,4.9,2021,12
10,4.7,2021,13
13,3.6,2021,14
12,3.4,2021,15
4,3.2,2020,1
1,3,2020,2
3,3,2020,3
14,2.9,2020,4
2,2.5,2020,5
8,2.4,2020,6
7,2.3,2020,7
10,2.2,2020,8
15,2.2,2020,9
12,2.1,2020,10
6,1.9,2020,11
5,1.8,2020,12
9,1.7,2020,13
11,1.4,2020,14
13,1.4,2020,15
2,3.6,2020,1
1,3.3,2020,2
3,3.2,2020,3
10,3,2020,4
4,2.8,2020,5
7,2.8,2020,6
14,2.8,2020,7
8,2.7,2020,8
6,2.6,2020,9
11,2.6,2020,10
5,2.4,2020,11
12,2.3,2020,12
9,2.1,2020,13
15,2.1,2020,14
13,2,2020,15
2,8.9,2019,1
3,8.5,2019,2
1,7.9,2019,3
6,7.8,2019,4
8,7.3,2019,5
11,7.3,2019,6
10,6.5,2019,7
7,6.4,2019,8
5,6.3,2019,9
4,5.6,2019,10
12,5.4,2019,11
15,4.8,2019,12
13,4.7,2019,13
9,4.4,2019,14
14,3.9,2019,15
1,8.6,2019,1
10,7.8,2019,2
6,7.3,2019,3
3,7.1,2019,4
2,7,2019,5
12,7,2019,6
4,6.9,2019,7
13,5.9,2019,8
7,5.5,2019,9
11,5.4,2019,10
5,5.1,2019,11
9,5,2019,12
14,4.5,2019,13
8,3.7,2019,14
15,2.4,2019,15
1,10.7,2018,1
2,9.9,2018,2
5,7.9,2018,3
7,7.6,2018,4
3,7.5,2018,5
6,7.2,2018,6
9,7.2,2018,7
4,6.7,2018,8
11,6.5,2018,9
10,6.3,2018,10
12,5.9,2018,11
15,5.7,2018,12
13,5.1,2018,13
14,4.9,2018,14
8,2.9,2018,15
5,9.9,2018,1
13,9.2,2018,2
10,8.7,2018,3
1,7.3,2018,4
7,6.9,2018,5
2,6.4,2018,6
3,6.4,2018,7
8,6.2,2018,8
4,5.5,2018,9
6,5.5,2018,10
11,5.1,2018,11
14,4.7,2018,12
9,4.4,2018,13
15,4.3,2018,14
12,3.9,2018,15
2,8,2017,1
7,7.9,2017,2
8,7.9,2017,3
1,7.7,2017,4
3,7,2017,5
4,6.9,2017,6
12,6.5,2017,7
6,6.4,2017,8
9,6,2017,9
5,5.7,2017,10
13,5,2017,11
14,4.9,2017,12
11,4.7,2017,13
10,4.3,2017,14
15,4.3,2017,15
2,8.1,2017,1
1,7.9,2017,2
10,7.5,2017,3
4,6.7,2017,4
3,6.3,2017,5
11,6.2,2017,6
6,6.1,2017,7
7,5.7,2017,8
8,5.6,2017,9
5,5.5,2017,10
12,4.8,2017,11
13,4.5,2017,12
9,3.9,2017,13
15,3.1,2017,14
14,2.4,2017,15
1,10.5,2016,1
2,9.5,2016,2
3,7.9,2016,3
5,7.3,2016,4
8,7.3,2016,5
4,7.2,2016,6
7,6.7,2016,7
12,6.7,2016,8
13,5.8,2016,9
6,5.2,2016,10
9,5.1,2016,11
10,5.1,2016,12
15,4.8,2016,13
11,4.1,2016,14
14,4.1,2016,15
1,7.3,2016,1
10,6.4,2016,2
13,6.4,2016,3
6,6.3,2016,4
5,5.9,2016,5
4,5.8,2016,6
12,5.5,2016,7
15,5.3,2016,8
3,5.2,2016,9
9,5,2016,10
11,5,2016,11
14,4.9,2016,12
2,4.5,2016,13
7,4.2,2016,14
8,3,2016,15
2,9.6,2015,1
4,7.5,2015,2
1,7.1,2015,3
3,7,2015,4
5,6.6,2015,5
9,6.1,2015,6
15,5.4,2015,7
6,5.1,2015,8
11,4.9,2015,9
12,4.9,2015,10
14,4.9,2015,11
8,4.8,2015,12
7,4.4,2015,13
10,4,2015,14
13,2,2015,15
1,9.7,2015,1
7,9.5,2015,2
6,8.6,2015,3
2,8.3,2015,4
3,7.8,2015,5
10,7.3,2015,6
14,6.9,2015,7
15,6.9,2015,8
4,6.4,2015,9
8,6.3,2015,10
9,5.9,2015,11
11,5.3,2015,12
5,5,2015,13
12,5,2015,14
13,2.1,2015,15
11,8.1,2014,1
1,7.7,2014,2
3,7,2014,3
6,6.9,2014,4
8,6.9,2014,5
5,6.3,2014,6
10,6.3,2014,7
15,6.2,2014,8
12,6.1,2014,9
4,5.8,2014,10
2,5.5,2014,11
13,5.5,2014,12
9,5.1,2014,13
14,4.8,2014,14
7,4.5,2014,15
1,8.2,2014,1
12,6.6,2014,2
2,6.5,2014,3
5,6.5,2014,4
3,6.4,2014,5
4,6.4,2014,6
8,6.4,2014,7
15,5.8,2014,8
13,5.7,2014,9
9,5.6,2014,10
10,5.6,2014,11
6,5.1,2014,12
7,4.4,2014,13
11,4,2014,14
14,3.3,2014,15
2,8.9,2013,1
1,7.5,2013,2
4,7.2,2013,3
3,7.1,2013,4
5,6.6,2013,5
12,6.6,2013,6
8,6.1,2013,7
9,5.9,2013,8
6,5.8,2013,9
7,5.7,2013,10
11,5,2013,11
13,4.8,2013,12
10,4.4,2013,13
14,4.1,2013,14
15,3.8,2013,15
7,8.6,2013,1
1,7.8,2013,2
9,7.6,2013,3
4,6.6,2013,4
6,6.6,2013,5
2,6.3,2013,6
3,6.2,2013,7
14,5.8,2013,8
5,5.3,2013,9
8,5.2,2013,10
10,5.2,2013,11
15,4.7,2013,12
12,4.6,2013,13
13,4.6,2013,14
11,3.1,2013,15
2,10.5,2012,1
4,8.4,2012,2
8,8,2012,3
3,7.2,2012,4
1,7.1,2012,5
12,6.6,2012,6
11,5,2012,7
15,4.8,2012,8
9,4.7,2012,9
6,4.1,2012,10
5,4,2012,11
10,4,2012,12
13,3.7,2012,13
14,2.4,2012,14
7,2.2,2012,15
1,7.6,2012,1
4,7.2,2012,2
7,7.1,2012,3
2,6.9,2012,4
3,6.9,2012,5
5,6.4,2012,6
15,5.9,2012,7
14,5.8,2012,8
9,5.6,2012,9
6,4.2,2012,10
11,4,2012,11
13,4,2012,12
12,3.4,2012,13
8,3.2,2012,14
10,2.2,2012,15